,,
الباركود,اسم الصنف,سعر البيع
9556023897741,اورينتال تشيز بولز 60 جم,100.00
9556023228057,اورينتال روتا روبيان 60 جم,100.00
9556023221454,اورينتال تشيكن رينج 60 جم,100.00
8934680033428,اوريو ويفر رول فانيليا 54 جم,85.00
7622300335809,اوريو سوفت كيك 16 جم,20.00
8934680033442,اوريو ويفر رول شيكولاته 54 جم,85.00
8992760221028,اوريو بوكيمون بسكويت,50.00
8691707036694,اوزمو كريم 35 جم,35.00
8691707061405,اوزمو دينو 2*1 - 18 جم,60.00
8691707140117,اوزمو هوكسي بوكسي 36 جم علبة,45.00
8699141035747,اوزمو وندرز 20 جم,60.00
8691707036014,اوزمو بيضه شيكولاته 20 جم,60.00
8691707057149,اوزمو برجر 40 جم,35.00
8699141157104,اوزمو هوبو 40 جم,35.00
8691707087962,اوزمو مصاصه شيكولاته 23 جم,50.00
5701397301361,اوكي كيتل شيبس هالبينو 150 جم,150.00
5701397300203,اوكي كيتل شيبس ملح بحرى & فلفل اسود 150 جم,150.00
5701397326531,اوكي كيتل شيبس ساور كريم & بصل 150 جم,150.00
5701397396527,اوكي كيتل شيبس ملح بحرى 150 جم,150.00
5701397326548,اوكي كيتل شيبس بابريكا 150 جم,150.00
5701397301330,اوكي كيتل شيبس خل وملح 150 جم,150.00
5701397326623,اوكي كيتل شيبس خل بلسمك & طماطم 150 جم,150.00
5701397326616,اوكي كيتل شيبس سويت باربكيو 150 جم,150.00
8681571349259,كافي كراون 2*1 كلاسيك بدون سكر 11 جم,40.00
8690840185733,اولكر توفي فواكهه 350 جم,140.00
8681571348504,كافي كراون كابتشينو 25 جم,20.00
8690840183326,اولكر توفي مستكة 350 جم,140.00
8690504096689,كافي كراون موكا شيكولاته 17 جم,15.00
8681571349259,كافي كراون 2*1 كلاسيك بدون سكر 11 جم,15.00
8681571349303,كافيه كراون لاتيه 17 جم,15.00
8681571349020,كافى كراون 3*1 كلاسيك 17.5 جم,15.00
8690504098904,كافي كراون 3*1 بندق 18 جم,15.00
11104171,كافي كراون 3*1 كلاسيك 17.5 جم,15.00
8684201390751,كافى كراون كابتشينو بدون سكر 25 جم,20.00
11104172,كافى كراون كابتشينو بدون سكر 12.5 جم,20.00
8690504096603,كافي كراون موكا شيكولاته بيضاء 17 جم,15.00
4903013278199,اوماي سناكس جبنه 6 جم,12.50
4903013278298,اوماي سناكس ذره 6 جم,20.00
4903013278236,اوماي سناكس توابل 5 جم,20.00
6223001930082,بركة مياه 600 ملل,6.00
6225000467217,اوه مياه 600 مل,6.00
3466603,ايس بريكرز ديو رازبيري 36 جم,120.00
3466506,ايس بريكرز ديو مينتس فراوله 42 جم,120.00
3499504,ايس بريكرز ساور ميكس بيري 42 جم,120.00
3400801,ايس بريكرز مينت قرفه 42 جم,120.00
3421105,ايس بريكرز ديو بطيخ 36 جم,120.00
3400704,ايس بريكرز مينت كولمينت 42 جم,120.00
3400908,ايس بريكر مينت وينتر جرين 42 جم,120.00
3400607,ايس بريكرز مينت سبيرمنت 42 جم,120.00
3409802,ايس بريكرز ساور بطيخ & تفاح اخضر & يوسفي 42 جم,120.00
6224009922567,وندرفيل كوكيز & كريمه كوب 150 مل,30.00
6224003145054,وندرفيت مانجو كوب 200 مل,60.00
6223009522593,وندرفيل زبادي توت 800 مل,110.00
6224009922017,وندرفيل شيكولاته كوب 150 مل,35.00
6223009524108,وندرفيل زبادي توت ساندويتش,35.00
6223009524306,وندرفيل موتشي مانجو 4*140 جم,120.00
6223009524153,وندرفيل مانجو راوند ستيك,35.00
6224009922055,وندرفيل زبده فول سوداني كوب 150 مل,30.00
6224003145078,وندرفيل شيكولاته بلجيكيه ستيك 80 مل,60.00
6224009922154,وندرفيل شيكولاته ستيك,25.00
6223009520278,وندرفيل بربل كوكيز ستيك,25.00
6223009520506,وندرفيل كونو زبادي توت,25.00
6224009922352,وندرفيل كوتن كاندي ستيك,25.00
6223009522340,وندرفيل شيكولاته 800 مل,110.00
6223009524283,وندرفيل موتشي زبادي توت 4*140 جم,120.00
6224009922048,وندرفيل فانيليا كوب 150 مل,35.00
6224009922536,وندرفيل بابل جام كوب 150 مل,25.00
6224009922109,وندرفيل فانيليا كونو,25.00
6224002300041,سموتشي فراوله 192 جم,200.00
6224009922147,وندرفيل فانيليا بندق ستيك,25.00
6224009922376,وندرفيل ساندوتش بسكويت مكرمل 1 ق,45.00
6224003145030,وندرفيت كوتن كاندى بدون سكر كوب,60.00
6224009922765,وندرفيل بابل جام كونو,20.00
6224009922215,كولد ستون شيكولاته كوب 150 مل,30.00
6223009524139,وندرفيل بندق صقلي و شوكولاته راوند ستيك 90 مل,35.00
6223009520438,وندرفيل بربل كوكيز ساندويتش,25.00
6224009922024,وندرفيل فراوله كوب 150 مل,25.00
6224009922550,وندرفيل كونو كوتن كاندي 1 ق,25.00
6224009922291,كولد ستون شيكولاته ستيك,30.00
6223009520308,ويمزي كوكيز كريمه كوب 200 مل,20.00
6224003145085,وندرفيت فانيليا فرنسيه ستيك 80 مل,50.00
6224009922062,وندرفيل كوتن كاندي كوب 150 مل,25.00
6224009922093,وندرفيل كوكيز كريمه كونو,25.00
6223009524146,ايس كريم جوز الهند والشيكولاته البيضاء,35.00
6223009522357,وندرفيل فانيليا 800 مل,110.00
6224003145047,وندرفيل شيكولاته بليجكيه 200 مل,70.00
6224003145016,وندرفيل فانيليا فرنسيه كوب 200 مل,60.00
6223009520490,وندرفيل زبادي توت ستيك,25.00
6223009524184,وندرفيل باشون فروت راوند ستيك,35.00
6224009922512,وندرفيل مانجو طبيعي 150 مل,25.00
6224009922185,كولد ستون موكا باي كوب 150 مل,30.00
6224009922307,كولد ستون ايس كريم بسكويت مكرمل,30.00
6223009524320,كولد ستون بلوبيري تشيز كيك كيري كوب 150 مل,45.00
6223009522371,ايس كريم وندرفيل مانجو طبيعى نباتي بدون لبن 800 ملل,120.00
6224009922529,وندرفيل بابل جام ستيك,25.00
6224009922116,وندرفيل شيكولاته كونو,25.00
6223009524115,وندرفيل كوكيز كونو بقطع الكوكيز 1 ق,25.00
6223009524467,وندرفيل موتشي كوكيز & كريمه 4 ق,120.00
6224009922277,كولد ستون شيكولاته ستيك,30.00
6224009922314,كولد ستون شيكولاته كونو,25.00
6224002300065,سموتشي مانجو عويس 192 جم,190.00
6223009520445,وندرفيل ساندوتش بابل جام 1 ق,25.00
6224003145092,وندرفيت فستق ستيك 80 مل,70.00
6223009520315,ويمزي مانجو 200 مل,20.00
6223009524290,وندرفيل موتشي لبان 4*140 جم,120.00
6224009922284,كولد ستون فانيليا ستيك,30.00
6223009524474,وندرفيل موتشي شوكولاته 4 ق,120.00
6224002300010,سموتشي مانجو الفونس 192 جم,200.00
6224002300034,سموتشي فانيليا 192 جم,190.00
6224002300027,سموتشي شوكلت 192 جم,190.00
6224003145023,وندرفيل توت ازرق بدون سكر 200 مل,50.00
6224009922321,كولد ستون فانيليا & صوص كراميل كونو,25.00
6224009922369,كولد ستون كوكيز & كريم ساندويتش,35.00
6224009922031,وندرفيل زبادي توت كوب 150 مل,35.00
6223009520254,وندرفيل بربل كوكيز كوب 150 مل,25.00
6223009520322,ويمزي فانيليا كوب 200 مل,20.00
6223009520421,وندرفيل ساندوتش كوتن كاندي 1 ق,25.00
6223009522692,كولد ستون دبل كوكيز ساندوتش,45.00
11101310,ايس كريم كولا 1 ق,50.00
1110672,ايس كريم تشيز كيك فراوله 1 ق,35.00
6223009522432,وندرفيل كوكيز ستيك شوكلت 1 ق,25.00
1110664,ايس كريم بورلي كريم 1 ق,50.00
1110665,ايس كريم كاندي 1 ق,50.00
11102734,ايس كريم بوينو - 1ق,35.00
1110673,ايس كريم بابل جم 1 ق,30.00
11102733,ايس كريم موكا - 1ق,30.00
1110666,ايس كريم مستكه 1 ق,35.00
1110663,ايس كريم شوكولاته 1 ق,35.00
1110669,ايس كريم فستق 1 ق,50.00
1110670,ايس كريم مانجو 1 ق,35.00
11101028,ايس كريم فانيليا 1 ق,30.00
1110661,ايس كريم سنيكرز 1 ق,35.00
1110662,ايس كريم فراوله 1 ق,35.00
1110667,ايس كريم روشيه 1 ق,35.00
11101507,ايس كريم شيكولاته دبي 1 ق,75.00
1110668,ايس كريم ليمون 1 ق,50.00
11101311,ايس كريم نسكافيه جولد 1 ق,50.00
1110671,ايس كريم زبادي توت 1 ق,35.00
11102929,ايس كريم بالوزن - 1 كيلو,550.00
8421826510092,ايس كريم موتشي بيستاشيو 6 ق,350.00
11103361,ايس كريم لوتس بيسكوف ستيك 60 مل,130.00
3274664224974,ايس كريم ميلكا ستيك فانيليا 4*90 مل,620.00
5410126007701,ايس كريم لوتس بيسكوف 6*60 مل,760.00
5410126037005,ايس كريم لوتس بيسكوف 4*90 مل,620.00
8711327373013,ايس كريم بين & جيري مارشميلو 465 مل,500.00
8711327373969,ايس كريم بين & جيري كراميل 465 مل,500.00
8421826410033,ايس كريم موتشي جوزهند 6 ق,350.00
8421826410026,ايس كريم موتشي مانجو 6 ق,350.00
8711327371682,ايس كريم بين & جيري كوكيز 465 ل,500.00
5410126017007,ايس كريم لوتس بيسكوف ستيك 90 مل,150.00
8711327374515,ايس كريم بين & جيري زبده فول سوداني 465 مل,500.00
8000500405598,ايس كريم فريرو راوند شوكليت 280 جم,550.00
8421826506095,ايس كريم موتشي تشيز كيك 6 ق,400.00
8421826508136,ايس كريم موتشي فانيلا 6 ق,350.00
8421826410057,ايس كريم موتشي شوكليت 6 ق,350.00
8711327374126,ايس كريم بين & جيري فراوله 465 مل,500.00
6224003145061,وندرفيت فستق كوب 200 مل,75.00
8000500365618,ايس كريم فريرو كلاسيك ستيك 70 مل,150.00
8003753902630,ايلي كلاسيكو مطحون فلتر 250 جم,520.00
8003753158556,ايلي كبسولات كلاسيكو 57 جم,330.00
8003753970073,ايلي غواتيمالا حبوب 250 جم,520.00
8003753167299,ايلي ارابيكا انديا 250 جم,520.00
8003753158709,ايلي كبسولات فورتي اكسترا بولد 10 ق,440.00
8003753939964,ايلي اثيوبيا صفيح 125 جم,350.00
8003753900490,ايلي صفيح ديكافيين 250 جم,520.00
8003753970066,ايلي صفيح حبوب اثيوبيا 250 جم,680.00
8003753158617,ايلي كبسولات لانجو 57 جم,330.00
8003753915050,ايلي صفيح مطحون كلاسيكو موكا بوت 250 جم,520.00
8003753900469,ايلي انتنسو بولد روست 250 جم,680.00
8003753158761,ايلي كبسولات انتنسو بولد 10 ق,440.00
8003753214887,ايلي برازيل حبوب صفيح 250 جم,680.00
8003753158679,ايلي كبسولات كلاسيك روست 10 ق,440.00
8003753168142,ايلي كبسولات دي كافيين 10 ق,330.00
8003753215006,ايلي برازيل مطحون 250 جم,520.00
8003753158648,ايلي كبسولات انتنسو 57 جم,330.00
8003753199009,ايلي كبسولات انتنسو بولد لانجو 57 جم,330.00
8003753918198,ايلي انتينسو خضراء حبوب صفيح 250 جم,680.00
8003753950921,ايلي صفيح مطحون انتنسو بولد روست فلتر 250 جم,680.00
8003753158587,ايلي كبسولات فورتي 57 جم,330.00
8003753158730,ايلي كبسولات لونجو 57 جم,440.00
8003753900520,ايلي كلاسيك صفيح حبوب 250 جم,680.00
8003753900438,ايلي كلاسيكو مطحون صفيح 250 جم,680.00
8003753189765,ايلي كابتشينو مثلج 250 مل,100.00
5011053025952,جوسي دروب ساور جيل 67 جم,150.00
8003753189789,ايلي لاتيه ماكيتو قهوه مثلجه 250 مل,100.00
4711476617109,جورميه ايس كوفي فانيلا 240 مل,50.00
8003753177656,ايلي كلاسيكو قهوه مثلجه 250 مل,100.00
8698701031144,ايليت شيكولاته اسبريسو 36 جم,30.00
8698701032783,ايليت شيكولاته بالكاندي 36 جم,35.00
8698701003417,ايليت دارك 62% - 36 جم,30.00
111103149,ايليت بسكويت & شوكو هند بالوزن,0.00
11110987,ايليت شيكولاته ايموجي & بوهيم بالوزن,0.00
11110848,ايليت شيكولاته انواع بالوزن,0.00
8698701040849,ايليت كنافه فستق 90 جم,280.00
6920702088080,ايليش مياه فواره برتقال 350 مل,55.00
6920702086871,ايليش مياه فواره اناناس 350 مل,55.00
6920702088028,ايليش مياه فواره تفاح اخضر 350 مل,55.00
6920702088066,ايليش مياه فواره كيوي & بطيخ 350 مل,55.00
6920702088059,ايليش مياه فواره مانجو 350 مل,55.00
6920702088882,ايليش مياه فواره خوخ 350 مل,55.00
6920702088073,ايليش مياه فواره شيري 350 مل,55.00
5012501013170,ايون شيكولاته بندق 200 جم,200.00
5201127013866,ايون بريك شيكولاته ميلك بندق كامل 85 جم,95.00
5201127049865,ايون بريك شيكولاته بيضاء مكسرات 85 جم,95.00
5201127010865,ايون بريك شيكولاته ميلك 85 جم,95.00
5201127033819,ايون بريك شيكولاته دارك بندق كامل 85 جم,95.00
5201127029867,ايون بريك شيكولاته ميلك بالمكسرات 85 جم,95.00
5201127030818,ايون بريك شيكولاته دارك 85 جم,95.00
5201127022868,ايون بريك شيكولاته لوز 85 جم,95.00
5201127010674,ايون شيكولاته حليب 200 جم,200.00
5201127019523,ايون بريك شيكولاته فسدق 85 جم,95.00
3046920029780,ليندت اكسلانس دارك 70% دوكس 100 جم,280.00
5201127039248,ايون سوبر فروت 90 جم,130.00
3046920029797,ليندت اكسلانس 50% كاكاو 100 جم,280.00
3046920010047,ليندت اكسلانس دارك 78% 100 جم,320.00
5201127030238,ايون شيكولاته دارك اسبريسو 90 جم,90.00
3046920016377,ليندت اكسلانس دارك 100% 100 جم,350.00
5201127013095,ايون شيكولاته ميلك بالبندق 100 جم,130.00
5201127030221,ايون دارك كلاسيك 90 جم,130.00
5201127030245,ايون شيكولاته 70% دارك 80 جم,130.00
5012501012029,ايون شيكولاته ميلك باللوز 100 جم,130.00
3046920029681,ليندت اكسلانس دارك 85% دوكس 100 جم,280.00
111103381,باريستا بودر شوكليت خامات,0.00
3052910013776,كوانتا مونن فانيليا سيراب 250 ملل,250.00
111103391,باريستا بن بندق خامات,0.00
6223006051874,اد-مي شيكولاته سبريد 900 جم,200.00
11103374,باريستا شاليموه خامات,0.00
111103376,باريستا نوتيلا خامات,0.00
111103373,باريستا ايس كريم فانيليا خامات,0.00
31304,سكر باكت,0.00
111103384,باريستا لوتس خامات,0.00
6253361248763,دوبلين غزل بنات سبريد 1 كجم,460.00
بار,باريستا خامات - خدمي مستهلكات,10.00
11103370,باريستا كفر 8 اونز شفاف خامات,0.00
6223000718872,لبنيتا لبن كامل الدسم 1لتر - باريستا,65.00
3052911331244,كوانتا كونن سيراب بلو بيري 250 ملل,250.00
311307,باريستا نسكافية خامات,10.00
3052911642722,مونن كرز شربات مركز 700 مل,530.00
111103380,باريستا بودر فرابيه فانيليا خامات,0.00
6223007652261,مناديل فاميليا تربيل 500,50.00
31308,باريستا كوب 8 اونز خامات,0.00
6253361248459,دوبلين كنافه وايت سبريد 1 كجم,470.00
111101675,سكر باريستا - تشغيل 1 كجم,0.00
3052911331251,كوانتا مونن سيراب فراولة 250 ملل,250.00
3052911412899,مونن باشون فروت فلفر 1 لتر,670.00
111103388,باريستا مورجان خامات,0.00
3052911483936,مونن فانيليا فلفر 1 لتر,610.00
6253361248404,دوبلين لوتس كنافه سبريد 1 كجم,625.00
3052911412837,مونن موهيتو فلفر 1 لتر,670.00
111103386,باريستا وايت شوكليت خامات,0.00
3052910051365,كوانتا مونن تشوكوليت كوكي سيراب 250 ملل,300.00
111101835,اسبريسو بينز كاندي كلوب,0.00
111103393,باريستا شاي خامات,0.00
6224011512794,مناديل وايت,40.00
6253805187443,دوبلين كريمه البوينو سبريد 1 كجم,600.00
31309,باريستا كفر 8 اونز خامات,0.00
31301,باريستا كوب 4 اونز خامات,0.00
111103392,باريستا حليب مكثف خامات,0.00
3052911514340,كوانتا مونن سيراب خوخ 250 ملل,250.00
11103365,باريستا كوب 16 اونز شفاف خامات,0.00
31303,استيلر خشب,0.00
6253361248411,دوبلين بوينو كنافه سبريد 1 كجم,650.00
6253361248442,دوبلين نعناع كنافه سبريد 1 كجم,600.00
111103389,باريستا بوينو خامات,0.00
111103377,باريستا كراميل خامات,0.00
11102055,اوفر ميلك شيك فستق,70.00
3052910013677,كوانتامونن كراميل سيراب 250 ملل,250.00
11103367,باريستا كفر 16 اونز شفاف خامات,0.00
ايس,باريستا كان صغير خامات,20.00
111103379,باريستا فليفر سيرب خامات,0.00
3052911233388,مونن شربات كوكيز مركز 700 مل,580.00
111103395,باريستا ماتشا خامات,0.00
3052910024550,مونن كراميل فلفر 1 لتر,610.00
3052911514333,كوانتا مونن سيراب باشون فروت 250 ملل,250.00
3052911514326,كوانتا مونن سيراب جوز الهند 250 ملل,250.00
6253361248435,دوبلين تشيز كيك حمضيات كنافه 1 كجم,610.00
900,دوبلين صوص لوتس 2.25 كجم - باريستا,"1,200.00"
3052910013745,كوانتا مونن سيراب البندق 250 ملل,250.00
3052911412882,مونن بلو كرواسو فلفر 1 لتر,620.00
111103383,باريستا شوكليت دارك خامات,0.00
6253361248428,دوبلين كابتشينو كنافه سبريد 1 كجم,685.00
6253805189645,دوبلين رد فلفت سبريد 1 كجم,450.00
111103390,باريستا بن تركي محوج خامات,0.00
111103385,باريستا بيستاشيو خامات,0.00
11103394,باريستا كان كبير خامات,25.00
111103363,باريستا بن تركي خامات,0.00
31302,باريستا كفر 4 اونز خامات,0.00
11103366,باريستا كفر 12 اونز خامات,0.00
3052911331268,كوانتا مونن سيراب موجيتو نعناع 250 ملل,250.00
1300,دوبلين صوص فسدق 2.25 كجم - باريستا,"1,500.00"
3052911169076,مونن بندق محمص فلفر 1 لتر,670.00
111103382,باريستا فليفر ايس تي خامات,0.00
6253361248466,دوبلين كنافه فستق حلبي سبريد 1 كجم,820.00
